Team(s),Name,Capacity,Location,Roof Type,Surface,Opened,Conference,Division 
Arizona Cardinals,State Farm Stadium,63400.0,"Glendale, Arizona",Retractable,Bermuda grass,2006.0,National Football Conference,NFC West
Atlanta Falcons,Mercedes-Benz Stadium,71000.0,"Atlanta, Georgia",Retractable,FieldTurf Revolution 360 ,2017.0,National Football Conference,NFC  South
Baltimore Ravens,M&T Bank Stadium,71008.0,"Baltimore, Maryland",Open,Bermuda grass ,1998.0,American Football Conference,AFC North
Buffalo Bills,Highmark Stadium,71608.0,"Orchard Park, New York",Open,A-Turf Titan 50 ,1973.0,American Football Conference,AFC East
Carolina Panthers,Bank of America Stadium,75523.0,"Charlotte, North Carolina",Open,FieldTurf,1996.0,National Football Conference,NFC  South
Chicago Bears,Soldier Field,61500.0,"Chicago, Illinois",Open,Bermuda grass ,1924.0,National Football Conference,NFC  North
Cincinnati Bengals,Paycor Stadium,65515.0,"Cincinnati, Ohio",Open,UBU Speed Series S5-M Synthetic Turf,2000.0,American Football Conference,AFC North
Cleveland Browns,FirstEnergy Stadium,67895.0,"Cleveland, Ohio",Open,Kentucky bluegrass,1999.0,American Football Conference,AFC North
Dallas Cowboys,AT&T Stadium,80000.0,"Arlington, Texas",Retractable,Hellas Matrix Turf,2009.0,National Football Conference,NFC East
Denver Broncos,Empower Field at Mile High,76125.0,"Denver, Colorado",Open,Kentucky bluegrass,2001.0,American Football Conference,AFC West
Detroit Lions,Ford Field,65000.0,"Detroit, Michigan",Fixed,FieldTurf Classic HD ,2002.0,National Football Conference,NFC  North
Green Bay Packers,Lambeau Field,81441.0,"Green Bay, Wisconsin",Open,Kentucky bluegrass reinforced with SIS Grass ,1957.0,National Football Conference,NFC  North
Houston Texans,NRG Stadium,72220.0,"Houston, Texas",Retractable,Hellas Matrix Turf ,2002.0,American Football Conference,AFC South
Indianapolis Colts,Lucas Oil Stadium,67000.0,"Indianapolis, Indiana",Retractable,Shaw Sports Momentum Pro,2008.0,American Football Conference,AFC South
Jacksonville Jaguars,TIAA Bank Field,69132.0,"Jacksonville, Florida",Open,Bermuda grass,1995.0,American Football Conference,AFC South
Kansas City Chiefs,Arrowhead Stadium,76416.0,"Kansas City, Missouri",Open,Bermuda grass,1972.0,American Football Conference,AFC West
Las Vegas Raiders,Allegiant Stadium,65000.0,"Paradise, Nevada",Fixed,Bermuda grass,2020.0,American Football Conference,AFC West
Los Angeles Chargers,SoFi Stadium,70000.0,"Inglewood, California",Fixed,Hellas Matrix Turf,2020.0,American Football Conference,AFC West
Los Angeles Rams,SoFi Stadium,70000.0,"Inglewood, California",Fixed,Hellas Matrix Turf,2020.0,National Football Conference,NFC West
Miami Dolphins,Hard Rock Stadium,65326.0,"Miami Gardens, Florida",Open,Bermuda grass,1987.0,American Football Conference,AFC East
Minnesota Vikings,U.S. Bank Stadium,66655.0,"Minneapolis, Minnesota",Fixed,UBU Speed Series S5-M Synthetic Turf ,2016.0,National Football Conference,NFC  North
New England Patriots,Gillette Stadium,66829.0,"Foxborough, Massachusetts",Open,FieldTurf CORE ,2002.0,American Football Conference,AFC East
New Orleans Saints,Caesars Superdome,73208.0,"New Orleans, Louisiana",Fixed,FieldTurf Revolution 360 ,1975.0,National Football Conference,NFC  South
New York Giants,MetLife Stadium,82500.0,"East Rutherford, New Jersey",Open,UBU Speed Series S5-M Synthetic Turf,2010.0,National Football Conference,NFC East
New York Jets,MetLife Stadium,82500.0,"East Rutherford, New Jersey",Open,UBU Speed Series S5-M Synthetic Turf,2010.0,American Football Conference,AFC East
Philadelphia Eagles,Lincoln Financial Field,69596.0,"Philadelphia, Pennsylvania",Open,Desso GrassMaster ,2003.0,National Football Conference,NFC East
Pittsburgh Steelers,Acrisure Stadium,68400.0,"Pittsburgh, Pennsylvania",Open,Kentucky bluegrass,2001.0,American Football Conference,AFC North
San Francisco 49ers,Levi's Stadium,68500.0,"Santa Clara, California",Open,Bermuda grass / Perennial Ryegrass mixture,2014.0,National Football Conference,NFC West
Seattle Seahawks,Lumen Field,69000.0,"Seattle, Washington",Open,FieldTurf Revolution 360 ,2002.0,National Football Conference,NFC West
Tampa Bay Buccaneers,Raymond James Stadium,65890.0,"Tampa, Florida",Open,Bermuda grass,1998.0,National Football Conference,NFC  South
Tennessee Titans,Nissan Stadium,69143.0,"Nashville, Tennessee",Open,Bermuda grass,1999.0,American Football Conference,AFC South
Washington Commanders,FedExField,67717.0,"Landover, Maryland",Open,Bermuda grass,1997.0,National Football Conference,NFC East
